# Step,PedestrianCount,AveragePeopleAtBusStops,AverageWaitTime
650.000000,284.000000,17.625000,106.207746
651.000000,286.000000,17.750000,105.982517
652.000000,286.000000,18.000000,106.506993
653.000000,286.000000,18.000000,107.031469
654.000000,286.000000,18.000000,107.555944
655.000000,288.000000,18.000000,107.329861
656.000000,289.000000,18.125000,107.480969
657.000000,290.000000,18.250000,107.634483
658.000000,290.000000,18.250000,108.158621
659.000000,290.000000,18.250000,108.682759
660.000000,292.000000,18.250000,108.458904
661.000000,295.000000,18.500000,107.877966
662.000000,295.000000,18.750000,108.406780
663.000000,296.000000,18.750000,108.570946
664.000000,296.000000,18.750000,109.104730
665.000000,296.000000,18.750000,109.638514
666.000000,298.000000,18.750000,109.432886
667.000000,298.000000,18.875000,109.969799
668.000000,298.000000,18.875000,110.500000
669.000000,299.000000,18.875000,110.665552
670.000000,301.000000,18.875000,110.461794
671.000000,303.000000,19.125000,110.267327
672.000000,303.000000,19.250000,110.808581
673.000000,305.000000,19.250000,110.619672
674.000000,305.000000,19.375000,111.160656
675.000000,305.000000,19.375000,111.701639
676.000000,306.000000,19.375000,111.875817
677.000000,307.000000,19.375000,112.048860
678.000000,309.000000,19.500000,111.864078
679.000000,310.000000,19.500000,112.045161
680.000000,310.000000,19.625000,112.590323
681.000000,310.000000,19.625000,113.135484
682.000000,312.000000,19.250000,110.974359
683.000000,311.000000,19.375000,111.308682
684.000000,310.000000,19.250000,111.690323
685.000000,310.000000,19.125000,111.845161
686.000000,309.000000,19.000000,112.368932
687.000000,309.000000,18.875000,112.621359
688.000000,309.000000,18.750000,112.889968
